City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dalandzadgad,43.5708,104.425,6.45,33,23,2.7,MN,1698440793
1,north shore,-36.8,174.75,13.04,62,100,2.24,NZ,1698440793
2,enewetak,11.3474,162.3373,28.43,74,47,5.16,MH,1698440793
3,puerto natales,-51.7236,-72.4875,4.6,73,18,8.39,CL,1698440499
4,kingston,17.997,-76.7936,28.53,82,40,7.2,JM,1698440080
5,port-aux-francais,-49.35,70.2167,3.14,81,49,7.89,TF,1698440794
6,ushuaia,-54.8,-68.3,5.81,87,75,5.66,AR,1698440794
7,hermanus,-34.4187,19.2345,14.74,69,96,5.14,ZA,1698440795
8,tingo maria,-9.2895,-76.0088,26.17,78,100,0.51,PE,1698440795
9,ebon,4.582,168.6964,28.58,68,92,3.94,MH,1698440795
10,broome,42.2506,-75.833,24.21,55,40,4.12,US,1698440796
11,waitangi,-43.9535,-176.5597,8.23,74,85,5.36,NZ,1698440796
12,albany,42.6001,-73.9662,23.66,58,91,1.0,US,1698440639
13,blackmans bay,-43.0167,147.3167,10.07,76,93,0.89,AU,1698440796
14,nuuk,64.1835,-51.7216,-1.66,86,75,2.57,GL,1698440796
15,longyearbyen,78.2186,15.6401,-3.09,80,75,1.03,SJ,1698440797
16,bikenibeu village,1.3673,173.1241,29.98,74,75,2.06,KI,1698440797
17,tazovsky,67.4667,78.7,-14.23,91,100,6.83,RU,1698440797
18,telsiai,55.9814,22.2472,0.04,92,100,3.63,LT,1698440797
19,bilibino,68.0546,166.4372,-20.79,97,30,1.54,RU,1698440798
20,nova sintra,14.8667,-24.7167,24.64,80,95,7.0,CV,1698440798
21,port mathurin,-19.6833,63.4167,24.56,76,93,3.81,MU,1698440798
22,inarajan village,13.2736,144.7484,28.54,97,47,2.71,GU,1698440798
23,ribeira grande,38.5167,-28.7,19.32,72,40,8.75,PT,1698440798
24,st. john's,47.5649,-52.7093,6.49,80,20,2.68,CA,1698440799
25,arkhangel'sk,64.5401,40.5433,-1.04,83,100,2.5,RU,1698440799
26,katsuren-haebaru,26.3369,127.8719,23.01,78,20,3.09,JP,1698440799
27,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1698440799
28,pobe,6.9801,2.6649,23.7,93,14,2.24,BJ,1698440799
29,port lincoln,-34.7333,135.8667,16.26,33,74,4.36,AU,1698440799
30,haiku-pauwela,20.9219,-156.3051,29.01,60,20,3.6,US,1698440800
31,edinburgh of the seven seas,-37.0676,-12.3116,13.84,93,100,16.33,SH,1698440800
32,hawaiian paradise park,19.5933,-154.9731,28.73,68,0,3.09,US,1698440800
33,isafjordur,66.0755,-23.124,2.57,87,72,2.07,IS,1698440800
34,puerto ayora,-0.7393,-90.3518,27.98,83,42,4.02,EC,1698440684
35,bredasdorp,-34.5322,20.0403,13.69,75,83,3.13,ZA,1698440801
36,ciudad madero,22.2667,-97.8333,29.11,74,40,4.12,MX,1698440801
